car_name_fixed,city,showroom_name,manufacturing_year,trim,body_type,color,product,invygo_baseprice,starter_fee,sto_contract_length,car_condition,vehicle_category
Yukon,Riyadh,Riyadh - Alawali,"2,023",STD,SUV,Black,STS,"3,880",,,NEW,SUV
Yaris,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Y,Sedan,White,STO,"2,500","2,750",36,USED,Compact
Yaris,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Y,Sedan,Gray,STO,"2,100","2,200",24,USED,Compact
Yaris,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Y,Sedan,White,STO,"2,050","2,350",30,USED,Compact
Pegas,Riyadh,Riyadh - Al Yarmuk,"2,026",STD,Sedan,Grey,STS,600,,,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
S450,Jeddah,Jeddah - Madina Al-Munawarah,"2,026",STD,Sedan,Black,STS,"13,685",,,NEW,Luxury
GT,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,STS,750,,,NEW,Sedan
GT,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,STS,750,,,NEW,Sedan
City,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,White,STS,750,,,NEW,Compact
GT,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Grey,MONTHLY,"3,079",,,NEW,Sedan
Accent,Dammam,Dammam - Al Itisalat,"2,023",Smart Plus,Sedan,Silver,MONTHLY,"2,419",,,NEW,Compact
Eado,Riyadh,Daily Riyadh - Al Aqiq,"2,022",Plus,Sedan,Black,STS,"1,060",,,NEW,Sedan
Yaris,Riyadh,Riyadh - Al Khaleej,"2,024",Y,Sedan,White,STS,"1,071",,,NEW,Compact
Raize,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",XLE,SUV,Silver,STO,"2,300","2,650",36,NEW,Crossover
Accent,Jeddah,Jeddah - Palestine,"2,025",Fleet,Sedan,White,MONTHLY,"2,459",,,NEW,Compact
Yaris,Jeddah,Jeddah - Al Fayha - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,USED,Compact
Accent,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,500","1,200",36,NEW,Compact
Accent,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
Accent,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
Elantra,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,Sedan,Silver,STO,"2,925","3,200",36,NEW,Sedan
Jolion,Jeddah,Jeddah - Al Sanabel  - Pickup,"2,026",STD,Hatchback,White,STO,"2,650","1,400",36,NEW,Crossover
Jolion,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Basic,Hatchback,Gray,STO,"2,650","1,400",36,NEW,Crossover
GT,Jeddah,Jeddah - Bani Malik,"2,022",STD,Sedan,Yellow,MONTHLY,"2,279",,,NEW,Sedan
Yaris,Jeddah,Jeddah - Ar Rawdah,"2,023",Y,Sedan,White,MONTHLY,"2,439",,,NEW,Compact
Grand i10,Riyadh,Riyadh - Qurtubah,"2,025",GLS,Sedan,Silver,MONTHLY,"1,959",,,NEW,Compact
Dzire,Riyadh,Riyadh - Qurtubah,"2,023",GL,Sedan,Grey,STS,742,,,NEW,Sedan
Yukon,Riyadh,Riyadh - Qurtubah,"2,023",STD,SUV,Black,STS,"3,880",,,NEW,SUV
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
Sunny,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Silver,STS,600,,,NEW,Compact
Corolla,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Corolla,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Elantra,Riyadh,Riyadh - Al Sahaba,"2,024",Fleet,Sedan,White,MONTHLY,"3,109",,,NEW,Sedan
Yaris,Jeddah,Jeddah - Al Fayha - Pickup,"2,026",Y,Sedan,White,STO,"2,300","2,500",36,NEW,Compact
Dzire,Riyadh,Riyadh - Al jazirah,"2,026",GL,Sedan,White,STS,770,,,NEW,Sedan
Accent,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
Accent,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
RX5,Riyadh,Riyadh - Al Rawdah,"2,022",STD,SUV,Black,STS,860,,,NEW,Crossover
Jolion,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Basic,Hatchback,Black,STO,"2,650","1,400",36,NEW,Crossover
Jolion,Jeddah,Jeddah - Al Sanabel  - Pickup,"2,026",STD,Hatchback,Black,STO,"2,650","1,400",36,NEW,Crossover
GT,Riyadh,Riyadh - Al Aziziyah,"2,022",STD,Sedan,Yellow,MONTHLY,"2,339",,,NEW,Sedan
Pegas,Riyadh,Riyadh - Urubah,"2,024",LX,Sedan,Grey,STS,600,,,NEW,Compact
i10,Jeddah,Jeddah - Salamah - Pickup,"2,023",MPI,Sedan,White,MONTHLY,"1,800","1,900",,USED,Compact
5,Dammam,Dammam - Al Itisalat,"2,022",Mid Option,Sedan,Blue,STS,"1,089",,,NEW,Compact
Taurus,Riyadh,Riyadh - Al Maizilah,"2,025",Ambiente,Sedan,Black,MONTHLY,"7,109",,,NEW,Sedan
K3,Riyadh,Riyadh - Ar Rimal - Pickup,"2,025",STD,Sedan,Silver,STO,"2,400","2,650",24,USED,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
Sonet,Riyadh,Riyadh - Al Yarmuk,"2,023",LX,Crossover,Gray,MONTHLY,"2,475","2,550",,USED,Crossover
Dzire,Riyadh,Riyadh - Qurtubah,"2,023",GL,Sedan,Grey,STS,742,,,NEW,Sedan
Accent,Jeddah,Jeddah - Ar Rawdah,"2,023",Smart Plus,Sedan,White,MONTHLY,"2,459",,,NEW,Compact
Accent,Riyadh,Riyadh - Alawali,"2,025",STD,Sedan,Black,STS,950,,,NEW,Compact
Accent,Riyadh,Riyadh - Alawali,"2,025",STD,Sedan,Silver,STS,950,,,NEW,Compact
